region,country,disease,last_survey_date,reported_case_rate,data_source
South Africa,South Africa,HIV,2026-07-14,12.5,synthetic
Kenya,Kenya,HIV,2026-06-19,4.2,synthetic
Nigeria,Nigeria,HIV,2026-04-30,1.3,synthetic
Uganda,Uganda,HIV,2026-06-04,5.4,synthetic
Mozambique,Mozambique,HIV,2026-03-26,11.8,synthetic
India,India,HIV,2026-01-15,0.2,synthetic
Brazil,Brazil,HIV,2026-05-20,0.5,synthetic
United States,United States,HIV,2026-07-19,0.4,synthetic
"North Kivu, DRC",Democratic Republic of Congo,Ebola,2026-07-26,340.0,synthetic
"Ituri, DRC",Democratic Republic of Congo,Ebola,2026-07-22,210.0,synthetic
"Kampala, Uganda",Uganda,Ebola,2026-07-24,45.0,synthetic
"Kinshasa, DRC",Democratic Republic of Congo,Ebola,2026-06-24,5.0,synthetic
"Ondo, Nigeria",Nigeria,Lassa fever,2026-07-20,28.0,synthetic
"Bauchi, Nigeria",Nigeria,Lassa fever,2026-07-13,19.0,synthetic
"Edo, Nigeria",Nigeria,Lassa fever,2026-07-16,22.0,synthetic
"Taraba, Nigeria",Nigeria,Lassa fever,2026-06-29,15.0,synthetic
"Benue, Nigeria",Nigeria,Lassa fever,2026-06-14,9.0,synthetic
