region,date,admission_count
United States,2026-07-20,108
United States,2026-07-21,112
United States,2026-07-22,116
United States,2026-07-23,122
United States,2026-07-24,126
United States,2026-07-25,132
United States,2026-07-26,140
United States,2026-07-27,145
United States,2026-07-28,150
United States,2026-07-29,156
United States,2026-07-30,162
United States,2026-07-31,170
United States,2026-08-01,175
United States,2026-08-02,183
France,2026-07-20,78
France,2026-07-21,78
France,2026-07-22,76
France,2026-07-23,76
France,2026-07-24,74
France,2026-07-25,73
France,2026-07-26,73
France,2026-07-27,72
France,2026-07-28,71
France,2026-07-29,71
France,2026-07-30,72
France,2026-07-31,72
France,2026-08-01,73
France,2026-08-02,71
South Africa,2026-07-20,174
South Africa,2026-07-21,181
South Africa,2026-07-22,190
South Africa,2026-07-23,196
South Africa,2026-07-24,202
South Africa,2026-07-25,209
South Africa,2026-07-26,220
South Africa,2026-07-27,229
South Africa,2026-07-28,238
South Africa,2026-07-29,250
South Africa,2026-07-30,261
South Africa,2026-07-31,271
South Africa,2026-08-01,285
South Africa,2026-08-02,300
Peru,2026-07-20,80
Peru,2026-07-21,79
Peru,2026-07-22,79
Peru,2026-07-23,78
Peru,2026-07-24,78
Peru,2026-07-25,78
Peru,2026-07-26,76
Peru,2026-07-27,77
Peru,2026-07-28,75
Peru,2026-07-29,74
Peru,2026-07-30,76
Peru,2026-07-31,76
Peru,2026-08-01,78
Peru,2026-08-02,76
Uganda,2026-07-20,163
Uganda,2026-07-21,166
Uganda,2026-07-22,165
Uganda,2026-07-23,166
Uganda,2026-07-24,167
Uganda,2026-07-25,168
Uganda,2026-07-26,168
Uganda,2026-07-27,171
Uganda,2026-07-28,176
Uganda,2026-07-29,175
Uganda,2026-07-30,177
Uganda,2026-07-31,173
Uganda,2026-08-01,175
Uganda,2026-08-02,176
Pakistan,2026-07-20,198
Pakistan,2026-07-21,195
Pakistan,2026-07-22,194
Pakistan,2026-07-23,196
Pakistan,2026-07-24,190
Pakistan,2026-07-25,190
Pakistan,2026-07-26,186
Pakistan,2026-07-27,182
Pakistan,2026-07-28,177
Pakistan,2026-07-29,180
Pakistan,2026-07-30,176
Pakistan,2026-07-31,173
Pakistan,2026-08-01,172
Pakistan,2026-08-02,176
Philippines,2026-07-20,39
Philippines,2026-07-21,39
Philippines,2026-07-22,38
Philippines,2026-07-23,38
Philippines,2026-07-24,37
Philippines,2026-07-25,38
Philippines,2026-07-26,38
Philippines,2026-07-27,39
Philippines,2026-07-28,40
Philippines,2026-07-29,39
Philippines,2026-07-30,39
Philippines,2026-07-31,38
Philippines,2026-08-01,37
Philippines,2026-08-02,37
Bangladesh,2026-07-20,23
Bangladesh,2026-07-21,23
Bangladesh,2026-07-22,23
Bangladesh,2026-07-23,22
Bangladesh,2026-07-24,22
Bangladesh,2026-07-25,22
Bangladesh,2026-07-26,22
Bangladesh,2026-07-27,22
Bangladesh,2026-07-28,23
Bangladesh,2026-07-29,23
Bangladesh,2026-07-30,23
Bangladesh,2026-07-31,23
Bangladesh,2026-08-01,23
Bangladesh,2026-08-02,23
Mexico,2026-07-20,197
Mexico,2026-07-21,196
Mexico,2026-07-22,195
Mexico,2026-07-23,190
Mexico,2026-07-24,192
Mexico,2026-07-25,187
Mexico,2026-07-26,182
Mexico,2026-07-27,179
Mexico,2026-07-28,175
Mexico,2026-07-29,174
Mexico,2026-07-30,169
Mexico,2026-07-31,164
Mexico,2026-08-01,160
Mexico,2026-08-02,157
Kenya,2026-07-20,114
Kenya,2026-07-21,111
Kenya,2026-07-22,109
Kenya,2026-07-23,108
Kenya,2026-07-24,109
Kenya,2026-07-25,112
Kenya,2026-07-26,113
Kenya,2026-07-27,112
Kenya,2026-07-28,110
Kenya,2026-07-29,110
Kenya,2026-07-30,113
Kenya,2026-07-31,113
Kenya,2026-08-01,112
Kenya,2026-08-02,109
United Kingdom,2026-07-20,109
United Kingdom,2026-07-21,108
United Kingdom,2026-07-22,110
United Kingdom,2026-07-23,110
United Kingdom,2026-07-24,108
United Kingdom,2026-07-25,111
United Kingdom,2026-07-26,110
United Kingdom,2026-07-27,111
United Kingdom,2026-07-28,114
United Kingdom,2026-07-29,116
United Kingdom,2026-07-30,114
United Kingdom,2026-07-31,115
United Kingdom,2026-08-01,112
United Kingdom,2026-08-02,115
Indonesia,2026-07-20,151
Indonesia,2026-07-21,148
Indonesia,2026-07-22,150
Indonesia,2026-07-23,150
Indonesia,2026-07-24,153
Indonesia,2026-07-25,151
Indonesia,2026-07-26,149
Indonesia,2026-07-27,152
